source,date,beds,rent,sqft,lat,lng,below_fmr
Zillow,2021-04-12,3,2050,2209,30.463,-97.632,FALSE
Zillow,2021-04-12,4,3800,3037,30.184,-98.006,FALSE
Zillow,2021-04-12,3,2000,2078,29.944,-97.893,FALSE
Zillow,2021-04-12,3,1675,1566,30.581,-97.871,FALSE
Zillow,2021-04-12,4,2600,3140,30.598,-97.874,FALSE
Zillow,2021-04-12,3,1950,1817,30.509,-97.747,FALSE
Zillow,2021-04-12,3,1975,2130,30.701,-97.711,FALSE
Zillow,2021-04-12,3,2100,1440,30.62,-97.694,FALSE
Zillow,2021-04-12,3,1895,1735,30.549,-97.615,FALSE
Zillow,2021-04-13,4,1995,1990,30.105,-97.357,FALSE
Zillow,2021-04-13,2,1500,889,30.411,-97.701,FALSE
Zillow,2021-04-13,3,1595,1203,30.429,-97.766,FALSE
Zillow,2021-04-13,4,4500,2790,30.376,-97.797,FALSE
Zillow,2021-04-13,1,1500,600,30.295,-97.736,FALSE
Zillow,2021-04-13,3,2800,2035,30.22,-97.699,FALSE
Zillow,2021-04-13,3,2100,2100,30.464,-97.63,FALSE
Zillow,2021-04-13,3,3050,2328,30.184,-97.891,FALSE
Zillow,2021-04-13,3,1850,1366,30.469,-97.612,FALSE
Zillow,2021-04-13,2,1900,904,30.288,-97.746,FALSE
Zillow,2021-04-13,3,2400,1722,30.211,-97.874,FALSE
Zillow,2021-04-13,3,3900,2436,30.312,-97.904,FALSE
Zillow,2021-04-13,3,4100,1989,30.357,-97.985,FALSE
Zillow,2021-04-13,2,1295,1200,30.397,-97.703,TRUE
Zillow,2021-04-13,3,2400,1408,30.228,-97.74,FALSE
Zillow,2021-04-13,3,5500,2509,30.338,-97.802,FALSE
Zillow,2021-04-13,2,1200,870,30.319,-97.691,TRUE
Zillow,2021-04-13,3,2250,1750,30.211,-97.867,FALSE
Zillow,2021-04-13,4,1950,1661,30.466,-97.613,FALSE
Zillow,2021-04-13,2,1725,871,30.305,-97.73,FALSE
Zillow,2021-04-13,3,2000,1339,30.423,-97.692,FALSE
Zillow,2021-04-13,2,1725,1045,30.306,-97.73,FALSE
Zillow,2021-04-13,2,1795,821,30.294,-97.737,FALSE
Zillow,2021-04-13,4,3200,1100,30.288,-97.749,FALSE
Zillow,2021-04-13,2,2100,950,30.318,-97.744,FALSE
Zillow,2021-04-13,3,2225,835,30.287,-97.748,FALSE
Zillow,2021-04-13,1,850,400,30.198,-97.8,TRUE
Zillow,2021-04-13,0,1095,NA,30.484,-97.927,FALSE
Zillow,2021-04-13,3,4200,1783,30.31,-97.721,FALSE
Zillow,2021-04-13,2,1695,838,30.288,-97.726,FALSE
Zillow,2021-04-13,3,5000,1296,30.25,-97.757,FALSE
Zillow,2021-04-13,3,3000,1138,30.348,-97.717,FALSE
Zillow,2021-04-13,2,1990,1056,30.308,-97.797,FALSE
Zillow,2021-04-13,2,2120,1069,30.247,-97.777,FALSE
Zillow,2021-04-13,1,1007,570,30.303,-97.735,TRUE
Zillow,2021-04-13,3,2200,1300,30.201,-97.7,FALSE
Zillow,2021-04-13,3,3400,1160,30.247,-97.764,FALSE
Zillow,2021-04-13,3,5950,2068,30.254,-97.767,FALSE
Zillow,2021-04-13,3,2350,1700,30.201,-97.798,FALSE
Zillow,2021-04-13,2,2950,1191,30.262,-97.773,FALSE
Zillow,2021-04-13,3,2800,1776,30.346,-97.717,FALSE
Zillow,2021-04-13,3,1695,1436,30.469,-97.636,FALSE
Zillow,2021-04-13,1,1195,625,30.204,-97.815,TRUE
Zillow,2021-04-13,4,2295,2314,30.139,-97.772,FALSE
Zillow,2021-04-13,4,2395,2731,30.463,-97.846,FALSE
Zillow,2021-04-13,2,2750,1008,30.236,-97.761,FALSE
Zillow,2021-04-13,2,4500,1568,30.284,-97.762,FALSE
Zillow,2021-04-13,3,1550,1192,29.889,-97.966,FALSE
Zillow,2021-04-13,3,1700,1822,30.026,-97.837,FALSE
Zillow,2021-04-13,4,1800,1614,29.97,-97.866,TRUE
Zillow,2021-04-13,4,3400,2850,30.075,-97.811,FALSE
Zillow,2021-04-13,4,2100,1682,30.03,-97.843,FALSE
Zillow,2021-04-13,3,1625,1364,30.006,-97.836,FALSE
Zillow,2021-04-13,4,1999,2146,29.821,-97.936,FALSE
Zillow,2021-04-13,3,1350,NA,29.883,-97.965,TRUE
Zillow,2021-04-13,3,2795,2197,30.519,-97.764,FALSE
Zillow,2021-04-13,4,1895,1746,30.621,-97.868,FALSE
Zillow,2021-04-13,3,2095,2237,30.597,-97.663,FALSE
Zillow,2021-04-13,4,1950,2316,30.528,-97.546,FALSE
Zillow,2021-04-13,2,1900,1488,30.729,-97.691,FALSE
Zillow,2021-04-13,4,2420,2362,30.451,-97.759,FALSE
Zillow,2021-04-13,3,1750,1526,30.565,-97.835,FALSE
Zillow,2021-04-13,3,2000,1973,30.662,-97.923,FALSE
Zillow,2021-04-13,4,2800,3258,30.588,-97.67,FALSE
Zillow,2021-04-13,3,1600,1178,30.523,-97.566,FALSE
Zillow,2021-04-13,3,1650,1387,30.537,-97.556,FALSE
Zillow,2021-04-13,3,2000,1800,30.511,-97.659,FALSE
